epoch,iou_score,learning_rate,loss,val_iou_score,val_loss
0,0.1399470865726471,0.0010000000474974513,0.9187306761741638,0.16533786058425903,0.854449987411499
1,0.18965201079845428,0.0010000000474974513,0.8220852017402649,0.17175768315792084,0.8530002236366272
2,0.21587678790092468,0.0010000000474974513,0.7825193405151367,0.1822611689567566,0.833468496799469
3,0.23504753410816193,0.0010000000474974513,0.7546135783195496,0.21122479438781738,0.7878521084785461
4,0.24839065968990326,0.0010000000474974513,0.7351378798484802,0.21720527112483978,0.7747054696083069
5,0.2594643533229828,0.0010000000474974513,0.7193447947502136,0.21962711215019226,0.7844132781028748
6,0.28205326199531555,0.0005000000237487257,0.686059832572937,0.22680026292800903,0.7768508791923523
7,0.28892070055007935,0.0005000000237487257,0.6777161359786987,0.242926687002182,0.7457200288772583
8,0.29942426085472107,0.0005000000237487257,0.6653193831443787,0.29724836349487305,0.6963411569595337
9,0.35444071888923645,0.0005000000237487257,0.6101309657096863,0.30739179253578186,0.676762580871582
10,0.3589344322681427,0.0005000000237487257,0.6035127639770508,0.31127238273620605,0.6721555590629578
11,0.3715037703514099,0.0002500000118743628,0.5861150026321411,0.30909737944602966,0.6744058728218079
12,0.3762846291065216,0.0002500000118743628,0.5798165202140808,0.3176329433917999,0.6637861132621765
13,0.3782433569431305,0.0002500000118743628,0.5776495933532715,0.31624895334243774,0.6687265038490295
14,0.3805577754974365,0.0002500000118743628,0.5744652152061462,0.3238999545574188,0.6568509340286255
15,0.3817082345485687,0.0002500000118743628,0.5729091763496399,0.3225550651550293,0.6555171012878418
16,0.3907933533191681,0.0001250000059371814,0.5610670447349548,0.3271061182022095,0.6513075828552246
17,0.3919844925403595,0.0001250000059371814,0.5595289468765259,0.3265492618083954,0.6515721082687378
18,0.3952813446521759,0.0001250000059371814,0.5555302500724792,0.32836058735847473,0.6506683826446533
19,0.3953280746936798,0.0001250000059371814,0.5556620359420776,0.3284491300582886,0.6495738625526428
20,0.3973260223865509,0.0001250000059371814,0.5527642369270325,0.32940325140953064,0.6501819491386414
21,0.4007013440132141,6.25000029685907e-05,0.5487111806869507,0.332572877407074,0.6451748609542847
22,0.4024992287158966,6.25000029685907e-05,0.5465875267982483,0.3307498097419739,0.6464280486106873
23,0.4033105671405792,6.25000029685907e-05,0.5455798506736755,0.3350498676300049,0.6409648060798645
24,0.40311399102211,6.25000029685907e-05,0.5455086827278137,0.33301493525505066,0.6460521221160889
25,0.40352103114128113,6.25000029685907e-05,0.5452569127082825,0.3331635594367981,0.6446919441223145
26,0.40548455715179443,3.125000148429535e-05,0.5422317981719971,0.3360682725906372,0.6398037672042847
27,0.4061831533908844,3.125000148429535e-05,0.541481614112854,0.33575454354286194,0.640861988067627
28,0.40755316615104675,3.125000148429535e-05,0.5399320721626282,0.3356669843196869,0.6404163837432861
29,0.40551620721817017,3.125000148429535e-05,0.5424782037734985,0.3355771601200104,0.6411358118057251
